ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,WElo,WSurfElo,WBD,WHand,WBHand,LElo,LSurfElo,LBD,LHand,LBHand
3,Pune,Tata Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Albot R.,74.0,86.0,693.0,616.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.55,2.3,1.57,2.37,1.65,2.37,,,1.66,2.45,1.59,2.35,1778.8,1741.8,1987-12-26,R,2.0,1786.9,1751.5,1989-11-11,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Tsitsipas S.,Mayer F.,91.0,69.0,606.0,718.0,4.0,6.0,7.0,5.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.37,1.5,2.4,1.53,2.5,1.54,2.64,,,1.57,2.82,1.52,2.49,2067.4,2023.9,1998-08-12,R,1.0,,,,,
2,Doha,Qatar Exxon Mobil Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Basilashvili N.,Fabbiano T.,59.0,73.0,826.0,701.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.62,2.15,1.67,2.2,1.68,2.31,,,1.77,2.31,1.68,2.16,1839.2,1781.6,1992-02-23,R,2.0,1571.3,1518.0,1989-05-26,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Thiem D.,Donskoy E.,5.0,72.0,4015.0,704.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.19,4.2,1.2,4.5,1.22,4.74,,,1.28,4.85,1.21,4.26,2066.2,2003.9,1993-09-03,R,1.0,1641.7,1600.5,1990-05-09,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Sela D.,35.0,68.0,1295.0,755.0,4.0,6.0,6.0,4.0,6.0,0.0,,,,,2.0,1.0,Completed,1.36,3.0,1.37,2.85,1.44,2.75,1.41,3.14,,,1.45,3.32,1.4,2.92,1805.3,1762.8,1983-11-15,L,2.0,1607.6,1571.8,1985-04-04,R,1.0
2,Doha,Qatar Exxon Mobil Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Stebe C.M.,39.0,82.0,1229.0,651.0,6.0,1.0,,,,,,,,,1.0,0.0,Retired,1.44,2.62,1.47,2.5,1.57,2.37,1.54,2.62,,,1.57,2.9,1.49,2.59,1957.6,1921.5,1997-10-20,R,2.0,,,,,
3,Pune,Tata Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Jarry N.,Andujar P.,113.0,1690.0,523.0,1.0,6.0,7.0,6.0,4.0,7.0,5.0,,,,,2.0,1.0,Completed,1.36,3.0,1.35,2.95,1.36,3.25,1.41,3.12,,,1.44,3.4,1.37,3.04,1681.9,1554.0,1995-10-11,R,2.0,1751.3,1622.6,1986-01-23,R,2.0
3,Pune,Tata Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Kicker N.,85.0,95.0,630.0,590.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.23,3.75,1.28,3.75,1.26,4.3,,,1.29,4.55,1.24,3.99,1747.4,1712.9,1992-02-08,R,2.0,,,,,
3,Pune,Tata Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Ojeda Lara R.,Vesely J.,198.0,62.0,260.0,815.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.25,1.33,3.1,1.32,3.25,1.36,3.27,1.38,,,3.5,1.38,3.19,1.34,,,,,,1723.9,1680.9,1993-07-10,L,2.0
3,Pune,Tata Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Herbert P.H.,Cecchinato M.,81.0,109.0,652.0,543.0,7.0,6.0,6.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,1.28,3.5,1.25,3.6,1.28,3.75,1.28,4.07,,,1.31,4.2,1.26,3.74,,,,,,1626.7,1496.9,1992-09-30,R,1.0
