ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,WElo,WSurfElo,WBD,WHand,WBHand,LElo,LSurfElo,LBD,LHand,LBHand
3,Pune,Tata Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Simon G.,Sandgren T.,89.0,96.0,610.0,583.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.45,2.55,1.5,2.62,1.47,2.85,,,1.5,3.0,1.46,2.68,1786.5,1747.5,1984-12-27,R,2.0,1685.9,1626.7,1991-07-22,R,2.0
3,Pune,Tata Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Ramanathan R.,Carballes Baena R.,148.0,106.0,379.0,550.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.68,2.3,1.66,2.1,1.65,2.1,1.73,2.1,,,1.73,2.36,1.65,2.21,1500.1,1455.1,1994-11-08,R,2.0,,,,,
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Mayer L.,47.0,52.0,1010.0,909.0,6.0,4.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.61,2.2,1.62,2.15,1.67,2.2,1.66,2.35,,,1.75,2.35,1.67,2.17,,,,,,1702.8,1671.9,1987-05-15,R,1.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Thompson J.,54.0,94.0,890.0,593.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.85,1.85,1.91,1.91,1.99,1.9,,,2.0,2.02,1.89,1.89,,,,,,1736.0,1697.2,1994-04-20,R,2.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Tiafoe F.,76.0,79.0,670.0,662.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.35,1.53,2.37,1.57,2.38,1.64,,,2.52,1.65,2.37,1.58,1641.9,1598.2,1987-11-26,R,2.0,1739.2,1704.4,1998-01-20,R,2.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,Escobedo E.,66.0,120.0,768.0,498.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.15,1.62,2.1,1.73,2.22,1.73,,,2.38,1.75,2.2,1.66,,,,,,1574.7,1545.0,1996-07-04,R,2.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Smith J.P.,33.0,218.0,1302.0,235.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.47,2.5,1.57,2.37,1.44,3.0,,,1.57,3.0,1.44,2.73,1597.1,1563.8,1987-08-22,L,2.0,,,,,
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Berdych T.,53.0,19.0,898.0,2095.0,6.0,4.0,1.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,3.25,1.33,3.05,1.33,3.0,1.4,3.27,1.38,,,3.5,1.38,3.14,1.35,,,,,,1834.6,1798.8,1985-09-17,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Berrettini M.,Troicki V.,135.0,55.0,410.0,880.0,4.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.25,1.57,2.2,1.6,2.25,1.61,2.28,1.69,,,2.45,1.69,2.27,1.62,1950.8,1863.4,1996-04-12,R,2.0,1612.8,1546.0,1986-02-10,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Jaziri M.,49.0,98.0,993.0,580.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.55,2.3,1.57,2.37,1.58,2.53,,,1.64,2.58,1.57,2.38,1827.3,1775.7,1989-07-18,R,2.0,1536.0,1511.3,1984-01-20,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Estrella Burgos V.,31.0,83.0,1375.0,648.0,6.0,0.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.12,6.0,1.1,5.9,1.12,6.0,1.13,7.12,,,1.15,8.2,1.11,6.45,1793.3,1730.5,1986-06-18,R,1.0,,,,,
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Garcia-Lopez G.,36.0,70.0,1295.0,714.0,6.0,4.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.53,2.37,1.5,2.4,1.53,2.5,1.57,2.55,,,1.61,2.57,1.55,2.42,1783.4,1724.7,1981-09-20,L,1.0,,,,,
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Basic M.,Haider-Maurer A.,138.0,451.0,399.0,81.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.21,3.95,1.2,4.5,1.26,4.2,,,1.29,4.6,1.23,4.08,1436.6,1416.0,1991-07-12,R,2.0,,,,,
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Coric B.,Carreno Busta P.,48.0,10.0,1001.0,2615.0,5.0,7.0,6.0,2.0,7.0,6.0,,,,,2.0,1.0,Completed,1.72,2.0,1.72,2.0,1.73,2.1,1.76,2.16,,,1.84,2.17,1.75,2.06,1823.7,1772.5,1996-11-14,R,2.0,,,,,
1,Brisbane,Brisbane International,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Shapovalov D.,50.0,51.0,992.0,981.0,6.0,7.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.72,2.0,1.72,2.0,1.73,2.1,1.81,2.1,,,1.9,2.2,1.74,2.08,1830.1,1797.2,1995-01-08,R,2.0,1946.8,1915.2,1999-04-15,L,1.0
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Pella G.,Ramos-Vinolas A.,64.0,23.0,774.0,1845.0,2.0,6.0,7.0,5.0,7.0,5.0,,,,,2.0,1.0,Completed,1.83,1.83,1.9,1.8,2.0,1.8,1.98,1.91,,,2.05,1.95,1.92,1.86,1822.3,1723.1,1990-05-17,L,2.0,,,,,
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Lorenzi P.,46.0,43.0,1015.0,1095.0,6.0,3.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.22,4.0,1.22,3.85,1.25,4.0,1.25,4.36,,,1.26,4.45,1.23,4.04,1890.5,1862.7,1986-09-01,R,2.0,1560.9,1540.0,1981-12-15,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Travaglia S.,Al Mutawa J.,134.0,,414.0,,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.005,34.0,,,1.01,26.0,1.01,25.62,,,1.02,34.0,1.01,18.89,1632.9,1572.2,1991-12-18,,,,,,,
2,Doha,Qatar Exxon Mobil Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Gojowczyk P.,Krajinovic F.,60.0,34.0,817.0,1298.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.1,1.65,2.1,1.73,2.37,1.65,,,2.45,1.86,2.14,1.7,1639.0,1615.4,1989-07-15,R,2.0,1894.8,1845.8,1992-02-27,R,2.0
1,Brisbane,Brisbane International,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Dzumhur D.,63.0,30.0,809.0,1391.0,6.0,7.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,2.62,1.44,2.5,1.47,2.5,1.53,2.8,1.49,,,2.8,1.57,2.53,1.51,1610.9,1611.0,1986-09-07,R,2.0,1723.9,1682.0,1992-05-20,R,2.0
1,Brisbane,Brisbane International,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Muller G.,58.0,25.0,844.0,1695.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.55,2.3,1.53,2.5,1.7,2.26,,,1.7,2.55,1.59,2.35,1796.7,1748.7,1996-05-19,R,2.0,,,,,
1,Brisbane,Brisbane International,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Polansky P.,128.0,137.0,436.0,404.0,7.0,6.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.3,3.2,1.36,3.25,1.33,3.57,,,1.42,3.65,1.33,3.27,1770.0,1733.7,1989-06-14,R,2.0,1481.0,1457.6,1988-06-15,R,2.0
1,Brisbane,Brisbane International,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Delbonis F.,175.0,67.0,299.0,755.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.72,2.0,1.8,2.0,1.84,2.06,,,1.91,2.1,1.77,2.03,1619.0,1601.4,1998-01-10,R,2.0,1702.5,1617.6,1990-10-05,L,2.0
3,Pune,Tata Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Bhambri Y.,Kadhe A.,118.0,610.0,499.0,45.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.08,8.0,1.07,7.0,1.08,7.5,1.08,9.44,,,1.1,9.44,1.08,7.76,,,,,,,,,,
3,Pune,Tata Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Haase R.,Kavcic B.,42.0,97.0,1130.0,581.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.3,3.2,1.36,3.25,1.36,3.4,,,1.36,3.56,1.33,3.27,1659.3,1638.5,1987-04-06,R,2.0,1581.5,1553.7,1987-03-05,R,2.0
3,Pune,Tata Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Copil M.,88.0,93.0,612.0,601.0,5.0,7.0,6.0,4.0,7.0,5.0,,,,,2.0,1.0,Completed,2.75,1.4,2.75,1.4,3.0,1.4,2.95,1.45,,,3.05,1.51,2.82,1.42,1704.7,1510.6,1995-06-02,R,2.0,1668.8,1639.6,1990-10-17,R,1.0
3,Pune,Tata Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Monteiro T.,Bemelmans R.,124.0,117.0,475.0,503.0,6.0,7.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,1.8,1.9,1.9,1.8,2.0,1.8,2.02,1.87,,,2.02,1.95,1.92,1.86,1652.3,1562.4,1994-05-31,L,2.0,1528.8,1470.6,1988-01-14,L,2.0
3,Pune,Tata Open,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Ivashka I.,Nagal S.,230.0,223.0,227.0,233.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.62,2.15,1.57,2.37,1.78,2.14,,,1.8,2.55,1.65,2.23,1651.7,1612.1,1994-02-24,R,2.0,1633.9,1506.9,1997-08-16,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Pella G.,Travaglia S.,64.0,134.0,774.0,414.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.42,2.65,1.44,2.75,1.47,2.91,,,1.49,2.95,1.44,2.73,1822.3,1723.1,1990-05-17,L,2.0,1632.9,1572.2,1991-12-18,,
3,Pune,Tata Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Anderson K.,Monteiro T.,14.0,124.0,2480.0,475.0,7.0,6.0,3.0,2.0,,,,,,,1.0,0.0,Retired,1.08,8.0,1.08,6.5,1.1,7.0,1.1,8.59,,,1.12,8.59,1.09,7.26,,,,,,1652.3,1562.4,1994-05-31,L,2.0
3,Pune,Tata Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Ramanathan R.,6.0,148.0,3805.0,379.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.08,8.0,1.07,7.0,1.1,7.0,1.09,9.58,,,1.1,9.58,1.08,7.98,1892.6,1840.0,1988-09-28,R,2.0,1500.1,1455.1,1994-11-08,R,2.0
3,Pune,Tata Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Paire B.,Fucsovics M.,41.0,85.0,1155.0,630.0,6.0,4.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,2.1,1.66,2.1,1.65,2.2,1.67,2.2,1.75,,,2.22,1.81,2.13,1.7,1783.2,1710.2,1989-05-08,R,2.0,1747.4,1712.9,1992-02-08,R,2.0
3,Pune,Tata Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Herbert P.H.,Bhambri Y.,81.0,118.0,652.0,499.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.25,1.57,2.25,1.57,2.37,1.57,2.38,1.65,,,2.5,1.7,2.34,1.59,,,,,,,,,,
3,Pune,Tata Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Haase R.,Jarry N.,42.0,113.0,1130.0,523.0,3.0,6.0,7.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.3,3.4,1.3,3.2,1.36,3.25,1.36,3.45,,,1.37,3.58,1.33,3.25,1659.3,1638.5,1987-04-06,R,2.0,1681.9,1554.0,1995-10-11,R,2.0
3,Pune,Tata Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Simon G.,Bautista Agut R.,89.0,20.0,610.0,2015.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.5,1.28,3.45,1.27,3.5,1.3,3.85,1.31,,,4.0,1.35,3.53,1.29,1786.5,1747.5,1984-12-27,R,2.0,,,,,
3,Pune,Tata Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Kukushkin M.,Djere L.,74.0,88.0,693.0,612.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.32,3.1,1.33,3.4,1.38,3.34,,,1.41,3.4,1.35,3.14,1778.8,1741.8,1987-12-26,R,2.0,1704.7,1510.6,1995-06-02,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Gasquet R.,91.0,31.0,606.0,1375.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.0,1.36,2.95,1.35,3.0,1.4,3.05,1.43,,,3.38,1.44,3.04,1.37,2067.4,2023.9,1998-08-12,R,1.0,1793.3,1730.5,1986-06-18,R,1.0
2,Doha,Qatar Exxon Mobil Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Monfils G.,Struff J.L.,46.0,53.0,1015.0,898.0,6.0,3.0,1.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.57,2.25,1.57,2.25,1.61,2.25,1.65,2.38,,,1.71,2.6,1.61,2.3,1890.5,1862.7,1986-09-01,R,2.0,,,,,
2,Doha,Qatar Exxon Mobil Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Bedene A.,5.0,49.0,4015.0,993.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.27,3.45,1.3,3.5,1.3,3.89,,,1.35,4.14,1.3,3.47,2066.2,2003.9,1993-09-03,R,1.0,1827.3,1775.7,1989-07-18,R,2.0
3,Pune,Tata Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Ojeda Lara R.,Ivashka I.,198.0,230.0,260.0,227.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.65,1.42,2.75,1.44,2.86,1.48,,,3.0,1.5,2.76,1.43,,,,,,1651.7,1612.1,1994-02-24,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Verdasco F.,39.0,35.0,1229.0,1295.0,6.0,4.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.2,1.61,2.15,1.62,2.2,1.67,2.29,1.7,,,2.29,1.78,2.17,1.68,1957.6,1921.5,1997-10-20,R,2.0,1805.3,1762.8,1983-11-15,L,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Basic M.,Lopez F.,138.0,36.0,399.0,1295.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.65,1.42,2.75,1.44,2.87,1.48,,,2.9,1.53,2.67,1.46,1436.6,1416.0,1991-07-12,R,2.0,1783.4,1724.7,1981-09-20,L,1.0
2,Doha,Qatar Exxon Mobil Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Coric B.,Basilashvili N.,48.0,59.0,1001.0,826.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.45,2.55,1.44,2.75,1.51,2.78,,,1.54,2.85,1.46,2.66,1823.7,1772.5,1996-11-14,R,2.0,1839.2,1781.6,1992-02-23,R,2.0
2,Doha,Qatar Exxon Mobil Open,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Gojowczyk P.,Berrettini M.,60.0,135.0,817.0,410.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.57,2.25,1.61,2.25,1.6,2.51,,,1.62,2.58,1.57,2.38,1639.0,1615.4,1989-07-15,R,2.0,1950.8,1863.4,1996-04-12,R,2.0
1,Brisbane,Brisbane International,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Dolgopolov O.,Zeballos H.,169.0,66.0,315.0,768.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.32,3.1,1.36,3.25,1.36,3.45,,,1.39,3.45,1.34,3.2,,,,,,,,,,
1,Brisbane,Brisbane International,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Kyrgios N.,Ebden M.,21.0,76.0,2010.0,670.0,6.0,7.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.14,5.5,1.15,4.75,1.17,5.0,1.18,5.64,,,1.22,5.85,1.16,5.18,1907.1,1876.7,1995-04-27,R,2.0,1641.9,1598.2,1987-11-26,R,2.0
1,Brisbane,Brisbane International,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Mmoh M.,Zverev M.,175.0,33.0,299.0,1302.0,6.0,2.0,5.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.37,1.53,2.35,1.53,2.37,1.57,2.7,1.53,,,2.7,1.63,2.4,1.56,1619.0,1601.4,1998-01-10,R,2.0,1597.1,1563.8,1987-08-22,L,2.0
1,Brisbane,Brisbane International,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,De Minaur A.,Raonic M.,209.0,24.0,245.0,1795.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.0,1.22,4.1,1.2,4.33,1.22,4.83,1.22,,,5.01,1.26,4.4,1.2,,,,,,1819.8,1759.2,1990-12-27,R,2.0
3,Pune,Tata Open,2018-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Paire B.,Haase R.,41.0,42.0,1155.0,1130.0,7.0,5.0,2.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.2,1.66,2.1,1.65,2.1,1.73,2.23,1.75,,,2.29,1.76,2.16,1.68,1783.2,1710.2,1989-05-08,R,2.0,1659.3,1638.5,1987-04-06,R,2.0
3,Pune,Tata Open,2018-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Anderson K.,Kukushkin M.,14.0,74.0,2480.0,693.0,6.0,7.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.22,4.33,1.2,4.1,1.25,4.0,1.22,4.92,,,1.26,4.95,1.22,4.27,,,,,,1778.8,1741.8,1987-12-26,R,2.0
3,Pune,Tata Open,2018-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Simon G.,Ojeda Lara R.,89.0,198.0,610.0,260.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.12,5.5,1.13,5.2,1.14,5.5,1.17,6.2,,,1.17,6.5,1.14,5.52,1786.5,1747.5,1984-12-27,R,2.0,,,,,
3,Pune,Tata Open,2018-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Cilic M.,Herbert P.H.,6.0,81.0,3805.0,652.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.15,4.75,1.17,5.0,1.19,5.57,,,1.21,5.7,1.16,5.05,1892.6,1840.0,1988-09-28,R,2.0,,,,,
1,Brisbane,Brisbane International,2018-01-04,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,Donaldson J.,63.0,54.0,809.0,890.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.9,1.8,1.91,1.91,1.98,1.93,,,2.04,1.98,1.92,1.87,1610.9,1611.0,1986-09-07,R,2.0,,,,,
1,Brisbane,Brisbane International,2018-01-04,ATP250,Outdoor,Hard,2nd Round,3,Edmund K.,Chung H.,50.0,58.0,992.0,844.0,7.0,6.0,5.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.72,2,1.72,2.1,1.73,2.11,1.82,,,2.23,1.83,2.06,1.74,1830.1,1797.2,1995-01-08,R,2.0,1796.7,1748.7,1996-05-19,R,2.0
1,Brisbane,Brisbane International,2018-01-04,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Millman J.,3.0,128.0,5150.0,436.0,4.0,6.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.16,5.0,1.16,4.6,1.17,5.0,1.2,5.24,,,1.22,5.6,1.17,4.85,1837.8,1805.7,1991-05-16,R,1.0,1770.0,1733.7,1989-06-14,R,2.0
1,Brisbane,Brisbane International,2018-01-04,ATP250,Outdoor,Hard,2nd Round,3,Harrison R.,Hanfmann Y.,47.0,119.0,1010.0,499.0,6.0,7.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.36,3.0,1.3,3.2,1.36,3.0,1.34,3.6,,,1.44,3.64,1.34,3.21,,,,,,1634.3,1460.6,1991-11-13,,
2,Doha,Qatar Exxon Mobil Open,2018-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Pella G.,Basic M.,64.0,138.0,774.0,399.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.5,2.4,1.53,2.5,1.54,2.7,,,1.6,2.7,1.52,2.5,1822.3,1723.1,1990-05-17,L,2.0,1436.6,1416.0,1991-07-12,R,2.0
